Player,Pos,Squad,Age,Touches,Touches in Def Pen,Touches in Def 1/3,Touches in Mid 1/3,Touches in Att 1/3,Att Pen,Live ball touches
Yves Bissouma,MF,Tottenham Hotspur,27,66.6,4.55,19.5,37.4,10.2,0.32,66.6
Oscar Bobb,FW,Manchester City,21,75,0,10,30,35,0,75
Lamare Bogarde,"DF,MF",Aston Villa,20,61.3,3.02,17.9,36,7.55,0.75,61.3
Willy Boly,DF,Nottingham Forest,33,57.1,12.9,37.1,18.8,1.18,0.59,57.1
Sven Botman,DF,Newcastle United,24,66.1,8.7,28.7,34.8,3.48,2.39,66.1
Jarrod Bowen,"FW,MF",West Ham United,27,37.9,0.85,4,14.1,20.5,5.18,37.9
Conor Bradley,DF,Liverpool,21,78.9,3.81,23.5,35.6,21.2,5.12,78.9
Jarrad Branthwaite,DF,Everton,22,54.5,7.56,28.1,24.2,2.47,1,54.5
James Bree,DF,Southampton,26,58.3,4.12,18.6,25.9,14.3,0.92,58.3
Ben Brereton,FW,Southampton,25,41.2,0.8,3.8,15.2,22.4,4,41.2
Nathan Broadhead,"MF,FW",Ipswich Town,26,40.6,0.9,5.26,20.6,16.2,2.69,40.6
Armando Broja,FW,Everton,22,34.3,1.08,3.78,12.7,19.5,4.86,34.3
David Brooks,"FW,MF",Bournemouth,27,50.9,1.4,5.51,19.3,27,3.64,50.9
Emi Buendía,"MF,FW",Aston Villa,27,74.5,0,15.5,31.8,28.2,2.73,74.5
Santiago Bueno,DF,Wolves,25,54.8,9.09,27.9,25.9,1.12,0.32,54.8
Facundo Buonanotte,"FW,MF",Leicester City,19,51.7,1.54,7.57,26.7,18.2,2.31,51.7
Cameron Burgess,DF,Ipswich Town,28,57.4,14.5,35.6,19.1,2.81,1.4,57.4
Dan Burn,DF,Newcastle United,32,64.5,9.89,35.3,25.9,3.51,1.41,64.5
Wes Burns,"FW,DF",Ipswich Town,29,34,2.04,6.7,12.5,15.5,1.75,34
Nathan Butler-Oyedeji,FW,Arsenal,21,10,0,0,0,10,10,10
