Player,Pos,Squad,Age,Touches,Touches in Def Pen,Touches in Def 1/3,Touches in Mid 1/3,Touches in Att 1/3,Att Pen,Live ball touches
Ibrahima Konaté,DF,Liverpool,25,76.9,7.85,32.7,40.3,4.19,0.81,76.9
Ezri Konsa,DF,Aston Villa,26,58.7,7.67,27.1,28.7,3.28,0.67,58.7
Mateo Kovačić,MF,Manchester City,30,87,2.17,13,49.1,25.7,0.7,87
Caleb Kporha,DF,Crystal Palace,18,110,10,40,20,50,0,110
Emil Krafth,DF,Newcastle United,29,52.4,8.95,26.3,19.2,7.37,1.05,52.4
Mohammed Kudus,"FW,MF",West Ham United,23,44.2,0.45,5.94,18.6,21.3,4.41,44.2
Dejan Kulusevski,"MF,FW",Tottenham Hotspur,24,48.2,0.91,5.62,16.3,27.1,5.96,48.2
Maxence Lacroix,DF,Crystal Palace,24,55.9,10.5,34.2,19.4,2.46,1.3,55.9
Adam Lallana,MF,Southampton,36,79.5,4.75,22.8,38.8,18.3,1.5,79.5
Tariq Lamptey,DF,Brighton,23,55.7,3.02,16.8,23.3,16,1.15,55.7
Will Lankshear,"FW,MF",Tottenham Hotspur,19,30,0,0,20,10,0,30
Roméo Lavia,MF,Chelsea,20,55.4,1.91,12.2,35.8,7.98,0.11,55.4
Mario Lemina,"MF,DF",Wolves,30,53.2,6.05,21.3,24.9,7.83,1.18,53.2
Bernd Leno,GK,Fulham,32,38.9,31.3,38.6,0.34,0,0,38.9
Jefferson Lerma,"MF,DF",Crystal Palace,29,55.6,4.9,18.5,27.8,9.64,1.15,55.6
Rico Lewis,"DF,MF",Manchester City,19,70.3,2.52,13.8,34.6,22.7,2.19,70.3
Keane Lewis-Potter,"DF,FW",Brentford,23,46.9,2.97,14.7,18.2,14.7,2.15,46.9
Myles Lewis-Skelly,DF,Arsenal,17,59.5,1.84,11.7,31.3,17.4,1.12,59.5
Matthijs de Ligt,DF,Manchester Utd,24,68.1,7.8,35.1,31,2.37,1.23,68.1
Pedro Lima,DF,Wolves,18,60,0,11.3,15,35,3.75,60
Victor Lindelöf,DF,Manchester Utd,30,57.9,7.69,31.2,24,3.08,0.38,57.9
Jesper Lindstrøm,FW,Everton,24,45.3,1.59,9.2,14.9,22,2.9,45.3
Valentino Livramento,DF,Newcastle United,21,62.2,3.77,19.6,28.3,15.3,1.3,62.2
Sean Longstaff,MF,Newcastle United,26,48.8,2.7,13.8,21.7,13.6,2.36,48.8
Saša Lukić,MF,Fulham,27,57.4,2.19,12.8,32.4,12.7,0.81,57.4
Joe Lumley,GK,Southampton,29,54.7,38.7,53.7,1,0,0,54.7
Massimo Luongo,MF,Ipswich Town,31,39.5,4.09,15.5,15,9.09,0.91,39.5
Ian Maatsen,DF,Aston Villa,22,72.2,4.41,19.4,26.3,27.4,3.7,72.2
Alexis Mac Allister,MF,Liverpool,25,64.4,1.94,9.83,33.2,22,2.08,64.4
James Maddison,MF,Tottenham Hotspur,27,72.8,1.29,10.4,34.4,28.7,3.83,72.8
Noni Madueke,FW,Chelsea,22,43.4,0.97,4.47,13.3,26.3,8.14,43.4
Gabriel Magalhães,DF,Arsenal,26,71.2,7.19,25.6,37.5,8.56,1.52,71.2
Edmond-Paris Maghoma,"MF,FW",Brentford,23,77.7,1.54,13.8,44.6,20.8,3.08,77.7
Harry Maguire,DF,Manchester Utd,31,68.1,7.54,33.4,31.6,3.9,2.26,68.1
Kobbie Mainoo,MF,Manchester Utd,19,58,1.37,10.8,32.1,15.7,1.97,58
Tyrell Malacia,DF,Manchester Utd,24,56.4,1.82,18.2,24.5,13.6,0,56.4
Donyell Malen,FW,Aston Villa,25,37.9,0.59,2.65,9.71,27.6,7.35,37.9
Mateus Mane,MF,Wolves,16,6,0,0,6,0,0,6
Orel Mangala,MF,Everton,26,44.4,1.57,9.5,23.9,11.2,0.93,44.4
Ryan Manning,"DF,MF",Southampton,28,59.8,4.44,16,24.5,19.8,1.36,59.8
Solly March,"FW,MF",Brighton,30,62.1,1.58,6.32,17.4,38.4,3.68,62.1
Omar Marmoush,"FW,MF",Manchester City,25,38.5,0.46,2.6,11.6,24.9,5.19,38.5
Gabriel Martinelli,"FW,MF",Arsenal,23,39.1,0.67,4.02,9.72,26,7.17,39.1
Emiliano Martínez,GK,Aston Villa,31,40.8,30.8,40.3,0.56,0,0,40.8
Lisandro Martínez,DF,Manchester Utd,26,78.2,8,36.6,35.7,6.41,0.92,78.2
Pape Matar Sarr,MF,Tottenham Hotspur,21,58.8,2.21,12.9,32.8,14.2,1.31,58.8
Jean-Philippe Mateta,FW,Crystal Palace,27,25.1,0.88,2.18,11.9,11.6,3.2,25.1
Stephy Mavididi,FW,Leicester City,26,48.2,1.28,7.37,18.3,23.5,3.41,48.2
Konstantinos Mavropanos,DF,West Ham United,26,67.5,10.7,35.5,29.6,2.78,1.06,67.5
Noussair Mazraoui,DF,Manchester Utd,26,67.9,5.3,26.6,31,11.1,0.95,67.9
Bryan Mbeumo,FW,Brentford,24,47,1.64,6.49,15,26.3,4.43,46.8
James Mcatee,"MF,FW",Manchester City,21,43.1,0.51,4.36,15.9,23.1,5.38,43.1
Kasey McAteer,FW,Leicester City,22,39.9,2.21,8,14.8,17.8,3.16,39.9
Alex McCarthy,GK,Southampton,34,34.6,28.2,34.6,0,0,0,34.6
John McGinn,"MF,FW",Aston Villa,29,43.4,1.26,6.64,22.6,14.6,2.35,43.4
Dwight McNeil,"MF,FW",Everton,24,49.2,0.39,4.8,21.6,24.2,1.64,49.2
Scott McTominay,MF,Manchester Utd,27,70,5,15,40,15,5,70
Ben Mee,DF,Brentford,34,69,9,33,31,5.5,1.5,69
Jayden Meghoma,DF,Brentford,18,30,10,20,0,10,0,30
Mikel Merino,"MF,FW",Arsenal,28,44.5,2.1,7.95,18.8,18.4,4.49,44.5
Shumaira Mheuka,MF,Chelsea,16,2,0,0,0,2,1,2
Nikola Milenković,DF,Nottingham Forest,26,38.2,6.95,20.9,14.9,2.41,1.73,38.2
Lewis Miley,MF,Newcastle United,18,67.1,1.43,12.6,35.4,19.4,1.71,67.1
James Milner,MF,Brighton,38,48.9,1.58,6.84,25.8,16.3,2.11,48.9
Tyrone Mings,DF,Aston Villa,31,64,11.8,32.7,27.9,3.79,1.37,64
Yankuba Minteh,"FW,MF",Brighton,20,41,1.47,6.62,11.2,24.1,7.16,41
Tyrick Mitchell,DF,Crystal Palace,24,51,3.31,18.1,19.5,13.8,1.25,51
Kaoru Mitoma,"FW,MF",Brighton,27,47.6,0.59,5.36,16.2,27.1,5.67,47.6
Jakub Moder,MF,Brighton,25,270,20,70,120,90,10,270
Jeremy Monga,"FW,MF",Leicester City,15,42.5,0.83,7.5,13.3,22.5,4.17,42.5
Mikey Moore,FW,Tottenham Hotspur,16,34.6,0.98,4.15,10.5,20.2,3.17,34.6
Morato,DF,Nottingham Forest,23,45.2,8.91,26.7,16.8,1.88,0.2,45.2
Álex Moreno,"DF,MF",Nottingham Forest,31,52.7,5.66,19.8,19.1,14.9,0.75,52.7
Sam Morsy,MF,Ipswich Town,32,55,3.17,16.3,31.1,8.1,0.2,55
Yerson Mosquera,DF,Wolves,23,60,8.78,34.7,23.5,2.45,1.43,60
Mason Mount,MF,Manchester Utd,25,49.1,1.59,6.52,23.3,19.9,4.49,49.1
Divin Mubama,FW,Manchester City,19,16.7,0,0,6.67,10,3.33,16.7
Mykhailo Mudryk,FW,Chelsea,23,36.5,1.76,7.06,8.82,22.4,3.53,36.5
Marshall Munetsi,"MF,FW",Wolves,28,30.3,1.75,4.83,15.2,10.7,3,30.3
Rodrigo Muniz,FW,Fulham,23,29.1,1.31,2.52,15,11.9,5.14,29.1
Daniel Muñoz,DF,Crystal Palace,28,56,3.31,15.8,23,17.7,2.98,56
Arijanet Muric,GK,Ipswich Town,25,38.3,31.1,37.3,1,0,0,38.3
Murillo,DF,Nottingham Forest,22,54.2,11.9,27.9,23.7,2.97,0.68,54.2
Jacob Murphy,FW,Newcastle United,29,48.5,1.03,7.18,18.1,23.7,3.51,48.5
Vitaliy Mykolenko,DF,Everton,25,49.1,3.65,15.4,20.8,13.2,0.94,49.1
Iliman Ndiaye,FW,Everton,24,40.1,1.33,8.11,16.7,17.2,3.07,40.1
Wilfred Ndidi,MF,Leicester City,27,54.3,4.61,17.9,27.1,9.81,2.36,54.3
Kosta Nedeljković,DF,Aston Villa,18,47.1,2.86,10.7,22.9,13.6,0,47.1
Reiss Nelson,FW,Arsenal,24,2,0,1,1,0,0,2
Reiss Nelson,FW,Fulham,24,64.3,0.93,5.56,20.4,39.3,6.48,64.3
Neto,GK,Bournemouth,35,35,30,35,0,0,0,35
Pedro Neto,FW,Chelsea,24,45.8,0.52,3.97,13.3,29.2,4.6,45.8
Eddie Nketiah,"FW,MF",Crystal Palace,25,35.8,0.96,4.09,15.3,17.2,5.83,35.8
Christopher Nkunku,FW,Chelsea,26,43.9,0.98,5.1,17.9,21.3,5.1,43.9
Gustavo Nunes,"FW,MF",Brentford,18,70,10,40,10,20,10,70
Matheus Nunes,"DF,MF",Manchester City,25,76.1,2.53,13.5,30.1,33,3.33,76.1
Darwin Núñez,FW,Liverpool,25,29,0.79,3.57,9.68,16.7,5.87,29
Ethan Nwaneri,"FW,MF",Arsenal,17,54.9,0.3,4.44,16.9,34.2,4.44,54.9
Christian Nørgaard,MF,Brentford,30,57.6,5.62,19.6,27.3,11.2,1.82,57.6
Jake O'Brien,DF,Everton,23,51.4,5.31,21.4,22.3,7.94,1.26,51.4
Matt O'Riley,MF,Brighton,23,50.5,1.92,7.69,22.3,20.7,4.52,50.4
Dara O'Shea,DF,Ipswich Town,25,58.3,11.3,33.7,21,3.72,1.47,58.3
Chidozie Obi-Martin,FW,Manchester Utd,16,26.1,1.67,3.33,11.7,11.1,5,26.1
Wilson Odobert,"FW,MF",Tottenham Hotspur,19,40.5,0.74,4.89,15.1,21,3.72,40.5
Chiedozie Ogbene,FW,Ipswich Town,27,26.9,1.15,4.23,7.31,15.4,2.31,26.9
Caleb Okoli,DF,Leicester City,23,64.5,12.2,36.1,26,2.8,0.8,64.5
Robin Olsen,GK,Aston Villa,34,44,37.6,43.6,0.4,0,0,44
Amadou Onana,MF,Aston Villa,22,55.4,3.94,14.9,32.6,8.83,1.28,55.4
André Onana,GK,Manchester Utd,28,40.3,30.8,39.7,0.65,0,0,40.3
Paul Onuachu,FW,Southampton,30,37.6,1.45,3.85,20.1,13.9,5.73,37.6
Frank Onyeka,MF,Brentford,26,33.3,0,3.33,16.7,13.3,0,33.3
Lewis Orford,MF,West Ham United,18,84,2,16,56,14,4,84
Stefan Ortega,GK,Manchester City,31,40.3,31.4,40.1,0.25,0,0,40.3
William Osula,FW,Newcastle United,20,37.3,0.67,2.67,14,21.3,5.33,37.3
Dango Ouattara,FW,Bournemouth,22,43,2.78,7.4,14.2,22.3,5.74,43
Nico O’Reilly,DF,Manchester City,19,71,2.37,12,37.8,22,3.05,71
Alex Palmer,GK,Ipswich Town,27,36.2,30.5,35.5,0.77,0,0,36.2
Cole Palmer,"MF,FW",Chelsea,22,52.1,0.65,4.23,23.2,25.4,4.06,52
Emerson Palmieri,DF,West Ham United,29,56.4,3.49,18,23.8,15.3,1.19,56.4
Lucas Paquetá,"MF,FW",West Ham United,26,68,2.35,13.9,37.5,17.2,2.23,68
Thomas Partey,"MF,DF",Arsenal,31,70.5,2.38,14.7,39,17.2,1.06,70.5
Nathan Patterson,DF,Everton,22,55.1,2.82,13.3,23.1,19.2,1.28,55.1
Andreas Pereira,MF,Fulham,28,51.3,0.98,7.54,20.8,23.7,2.05,51.2
Ricardo Pereira,DF,Leicester City,30,68.8,3.95,20.9,38.6,9.53,1.16,68.8
Kalvin Phillips,MF,Ipswich Town,28,53.9,4.45,16.3,29.1,8.91,0.36,53.9
Jaden Philogene Bidace,"FW,MF",Aston Villa,22,39.2,1.08,7.3,14.6,17.8,3.78,39.2
Jaden Philogene Bidace,"FW,DF",Ipswich Town,22,41.5,1.89,10,12.8,19.1,3.4,41.5
Jordan Pickford,GK,Everton,30,44.9,29.4,43.2,1.82,0,0,44.9
Ethan Pinnock,DF,Brentford,31,63.3,13.8,36.8,21.5,5.12,1.13,63.3
Daniel Podence,"MF,FW",Wolves,28,40,0,4,22,14,0,40
Alfie Pond,DF,Wolves,20,1,0,0,1,0,0,1
Nick Pope,GK,Newcastle United,32,31.1,24.6,30.6,0.54,0,0,31.1
Pedro Porro,DF,Tottenham Hotspur,24,77.1,4.41,23.3,28,26.3,1.1,77.1
Jarell Quansah,DF,Liverpool,21,84.4,14.5,44.5,34.4,5.45,1.09,84.4
Aaron Ramsdale,GK,Southampton,26,43.8,31.5,42.9,1.07,0,0,43.8
Jacob Ramsey,"FW,MF",Aston Villa,23,42.3,0.67,8.11,15.1,19.9,4.11,42.3
Marcus Rashford,"FW,MF",Manchester Utd,26,40.4,0.28,3.21,17.3,20.4,3.12,40.4
Marcus Rashford,FW,Aston Villa,26,46.3,0.41,2.86,11.8,32.4,6.12,46.1
David Raya,GK,Arsenal,28,38.9,23.2,36.5,2.42,0,0,38.9
Harrison Reed,MF,Fulham,29,65,1.67,9.17,23.3,33.3,4.17,65
Remy Rees-Dottin,FW,Bournemouth,18,0,0,0,0,0,0,0
Sergio Reguilón,DF,Tottenham Hotspur,27,75.9,4.09,25.9,33.2,17.3,1.36,75.9
Vitor Reis,DF,Manchester City,18,3,1,2,1,0,0,3
Chadi Riad,DF,Crystal Palace,21,90,5,41,49,1,0,90
Declan Rice,MF,Arsenal,25,62,2.61,10.4,28.9,23.3,2.58,62
Chris Richards,DF,Crystal Palace,24,52.2,6.26,28.6,20.6,3.41,0.84,52.2
Richarlison,FW,Tottenham Hotspur,27,30.9,1.43,3.75,15.9,11.4,5.18,30.9
Andrew Robertson,DF,Liverpool,30,75.5,3.33,19.5,34.1,22.5,1.92,75.5
Antonee Robinson,DF,Fulham,26,71.7,3.95,23.5,26.8,22.4,1.99,71.7
Jay Robinson,"MF,FW",Southampton,17,36,2.67,10,12,14.7,3.33,36
Rodri,MF,Manchester City,28,92.5,1.25,17.5,46.3,30,0,92.5
Guido Rodríguez,MF,West Ham United,30,55.4,4.22,17.4,33,5,0.39,55.4
Mads Roerslev,DF,Brentford,25,52.9,4.02,19.2,22,12,1.64,52.9
Morgan Rogers,"FW,MF",Aston Villa,22,39.4,1.24,5.78,17.1,17.3,4.1,39.4
Cristian Romero,DF,Tottenham Hotspur,26,87.7,10,37.8,45.9,4.71,1.46,87.7
Georginio Rutter,"MF,FW",Brighton,22,34.8,1.09,4.51,13.4,17.7,4.29,34.8
José Sá,GK,Wolves,31,34,27.1,33.7,0.34,0,0,34
Bukayo Saka,"FW,MF",Arsenal,22,51,0.31,2.97,11.3,37.2,8.44,50.9
Mohamed Salah,FW,Liverpool,32,45.2,0.29,2.59,13.3,29.8,9.49,45
William Saliba,DF,Arsenal,23,83.6,5.62,33.3,46.5,4.2,0.53,83.6
Robert Sánchez,GK,Chelsea,26,41.3,30.6,41,0.38,0,0,41.3
Jadon Sancho,FW,Chelsea,24,49.7,0.66,5.97,14.4,29.8,6.17,49.7
Ibrahim Sangaré,MF,Nottingham Forest,26,61.7,3.94,16.7,37.4,7.88,1.06,61.7
Pablo Sarabia,"MF,FW",Wolves,32,61.3,0.44,6.44,30.1,25.1,2.67,61.3
Jeremy Sarmiento,MF,Brighton,22,80,0,0,60,20,0,80
Ismaila Sarr,MF,Crystal Palace,26,36.2,1.59,5.98,13.7,17,4.49,36.2
Sávio,"FW,MF",Manchester City,20,55.9,0.71,2.81,14.6,39.5,7.86,55.9
Oliver Scarles,"DF,FW",West Ham United,18,63,4.32,21.5,24.2,18,1.22,63
Dane Scarlett,"FW,MF",Tottenham Hotspur,20,22.5,2.5,7.5,12.5,2.5,2.5,22.5
Kevin Schade,FW,Brentford,22,34.6,1.69,6.04,9.33,19.9,5.73,34.6
Fabian Schär,DF,Newcastle United,32,71.1,8.16,36.1,30.4,4.97,1.29,71.1
Jeffrey Schlupp,"MF,DF",Crystal Palace,31,71.8,1.82,8.18,28.2,37.3,5.45,71.8
Alex Scott,MF,Bournemouth,20,57.7,2.86,10.7,30.6,17.1,2.14,57.7
Matz Sels,GK,Nottingham Forest,32,29,21.9,28.5,0.53,0,0,29
Nélson Semedo,DF,Wolves,30,53.5,3.83,15,24.5,14.5,0.84,53.5
Antoine Semenyo,FW,Bournemouth,24,46.4,1.29,5.79,16.1,25.5,5.37,46.4
Marcos Senesi,DF,Bournemouth,27,72.3,5.93,31.8,34.7,6.67,1.3,72.3
Ryan Sessegnon,"FW,DF",Fulham,24,56.7,2.34,13.8,20.5,23.3,7.03,56.7
Luke Shaw,DF,Manchester Utd,29,81.3,6.67,32.8,38.2,10.8,1.03,81.3
Zain Silcott-Duberry,FW,Bournemouth,19,3,0,1,0,2,0,3
Bernardo Silva,"MF,FW",Manchester City,29,69.2,1.68,12,28.4,29.5,4.75,69.2
Jota Silva,"FW,MF",Nottingham Forest,24,37.6,2,8.74,10.9,19.1,4.84,37.6
Eric da Silva Moreira,"MF,DF",Nottingham Forest,18,43.3,10,23.3,13.3,6.67,0,43.3
Jahmai Simpson-Pusey,DF,Manchester City,18,111.8,8.18,55.5,53.6,2.73,0.91,111.8
Luis Sinisterra,"FW,MF",Bournemouth,25,59.6,2.69,6.92,15.8,36.9,8.85,59.6
Oliver Skipp,MF,Leicester City,23,49,2.32,11.3,30.6,7.36,0.72,49
William Smallbone,MF,Southampton,24,56,2.21,10.8,27.7,18.1,2.21,56
Adam Smith,DF,Bournemouth,33,46.6,2.32,13.6,22.3,11.1,0.45,46.6
Emile Smith Rowe,MF,Fulham,24,53.9,0.88,7.31,26,21,2.64,53.9
Dominic Solanke,FW,Tottenham Hotspur,26,26.7,1.35,3.02,12.2,11.8,4.57,26.7
Carlos Soler,"MF,FW",West Ham United,27,50.6,1.72,11.5,26.1,13.4,1.66,50.6
Julio Soler,"DF,FW",Bournemouth,19,170,0,30,60,80,0,170
Ramón Sosa,"FW,MF",Nottingham Forest,24,46.7,1.82,10.9,14.5,23.3,4.55,46.7
Tomáš Souček,MF,West Ham United,29,44.9,4.49,12.5,22,10.6,3.58,44.9
Boubakary Soumaré,MF,Leicester City,25,59.8,3.03,16,37.5,6.89,0.75,59.8
Djed Spence,DF,Tottenham Hotspur,23,71.8,4.07,25.1,32.2,15.5,1.26,71.8
Jay Stansfield,MF,Fulham,21,0,0,0,0,0,0,0
Jason Steele,GK,Brighton,33,57,53.5,57,0,0,0,57
Jack Stephens,DF,Southampton,30,71.2,8.31,29.9,35.3,6.3,0.71,71.2
Raheem Sterling,"FW,MF",Arsenal,29,49.8,0.36,1.82,10.5,38,6.91,49.8
Ross Stewart,FW,Southampton,28,32.6,2.09,5.81,12.8,14.4,3.49,32.6
Jakub Stolarczyk,GK,Leicester City,23,41.1,30.9,40.6,0.6,0,0,41.1
John Stones,"DF,MF",Manchester City,30,72.5,6.56,23.3,38.4,11.1,0.66,72.5
Jørgen Strand Larsen,FW,Wolves,24,25.6,1.25,2.96,12.1,10.6,3.76,25.6
Yukinari Sugawara,"DF,MF",Southampton,24,61.6,3.87,18.9,23.7,19.3,1.68,61.6
Kamaldeen Sulemana,"FW,MF",Southampton,22,37.6,1.09,5.9,14,19.3,3.78,37.6
Crysencio Summerville,"FW,MF",West Ham United,22,42.8,1.03,5.4,16.9,20.8,4.37,42.8
Sammie Szmodics,"FW,MF",Ipswich Town,28,28.9,1.55,7.27,11.4,10.8,3,28.9
Dominik Szoboszlai,MF,Liverpool,23,57.2,1.16,7.94,27.5,22.6,3.75,57.2
Matt Targett,DF,Newcastle United,28,85,0,15,40,30,0,85
James Tarkowski,DF,Everton,31,52.5,10.9,30,19.5,3.26,1.75,52.5
Marcus Tavernier,"FW,MF",Bournemouth,25,55.6,0.93,6.28,21.8,28.9,2.7,55.6
Charlie Taylor,DF,Southampton,30,69.8,8.75,30.3,30,9.75,0.5,69.8
Jack Taylor,MF,Ipswich Town,26,55.6,3.33,16.8,29.3,10.7,0.83,55.6
Mathys Tel,FW,Tottenham Hotspur,19,41,0.89,5.74,14.9,21.5,3.96,40.9
Kenny Tete,DF,Fulham,28,61.2,4.01,20.4,24.6,16.7,1.88,61.2
Thiago,"FW,MF",Brentford,23,43.7,3.68,7.89,17.9,18.9,2.11,43.7
Luke Thomas,DF,Leicester City,23,63,4.07,23.9,29.8,9.76,0.65,63
Youri Tielemans,MF,Aston Villa,27,71,3.07,14.3,40.7,16.8,1.34,71
Kieran Tierney,"DF,FW",Arsenal,27,68.6,2.76,12.4,24.8,31.4,2.07,68.6
Jurriën Timber,DF,Arsenal,23,61.7,1.9,11.3,31.9,18.8,2.45,61.7
Jean-Clair Todibo,DF,West Ham United,24,63.9,8.13,35.3,26.7,2.32,0.54,63.9
Harry Toffolo,DF,Nottingham Forest,28,58.7,6,21.3,14.7,22.7,1.33,58.7
Takehiro Tomiyasu,DF,Arsenal,25,70,10,40,10,20,10,70
Sandro Tonali,MF,Newcastle United,24,62.3,2.19,13.9,33.9,15.4,1.54,62.3
Pau Torres,DF,Aston Villa,27,67.8,10.6,31.3,32.4,4.33,0.76,67.8
Conor Townsend,DF,Ipswich Town,31,46.5,7.57,23.5,13.5,10.3,1.35,46.5
Adama Traoré,"FW,MF",Fulham,28,40.7,0.2,4.21,14.5,23.1,4.62,40.7
Boubacar Traoré,MF,Wolves,22,2,0,0,2,0,0,2
Mark Travers,GK,Bournemouth,25,32.4,28.8,31.8,0.6,0,0,32.4
Ryan Trevitt,MF,Brentford,21,7,1,2,4,1,0,7
Kieran Trippier,DF,Newcastle United,33,95.7,3.45,25.9,42.5,28,0.9,95.7
Leandro Trossard,FW,Arsenal,29,45.2,0.6,4.77,14.1,26.9,5.58,45.2
Kostas Tsimikas,DF,Liverpool,28,79.7,3.55,20.4,35.2,24.6,1.4,79.7
Axel Tuanzebe,DF,Ipswich Town,26,51.1,5.11,21.4,22.4,7.63,0.42,51.1
Destiny Udogie,DF,Tottenham Hotspur,21,64.3,2.94,18.4,28.5,18.2,2.29,64.3
Manuel Ugarte,MF,Manchester Utd,23,58.6,2.32,16.7,32.3,10.7,0.81,58.6
Lesley Ugochukwu,MF,Southampton,20,47.8,2.72,11.7,27.2,9.18,1.3,47.8
Enes Ünal,"FW,MF",Bournemouth,27,45.3,1.58,3.68,16.6,25,6.84,45.3
Hákon Valdimarsson,GK,Brentford,22,45,37.5,44.4,0.63,0,0,45
Virgil van Dijk,DF,Liverpool,33,89.2,12.2,35.6,49.4,4.49,1.3,89.2
Jamie Vardy,FW,Leicester City,37,18.7,0.96,1.94,8.66,8.28,3.54,18.6
Renato Veiga,"DF,MF",Chelsea,21,83.5,1,30.5,41,13.5,1.5,83.5
Joël Veltman,DF,Brighton,32,59.9,3.44,17.6,29.5,13.4,0.53,59.9
Micky van de Ven,DF,Tottenham Hotspur,23,79.2,9.73,40.7,36.1,3.19,0.8,79.2
Bart Verbruggen,GK,Brighton,21,39.1,30.8,38.7,0.39,0,0,39.1
Jannik Vestergaard,DF,Leicester City,31,70.5,12.6,36.9,32.1,1.81,0.65,70.5
Guglielmo Vicario,GK,Tottenham Hotspur,27,38.7,26.1,37.9,0.75,0,0,38.7
Carlos Vinícius,"MF,FW",Fulham,29,35,0,5,15,15,10,35
Kyle Walker,DF,Manchester City,34,82.6,2.41,18.2,43.8,21.1,0.46,82.6
Kyle Walker-Peters,DF,Southampton,27,62.4,4.66,19,27.3,16.7,1.82,62.4
Christian Walton,GK,Ipswich Town,28,38.9,35.4,38.7,0.14,0,0,38.9
Aaron Wan-Bissaka,DF,West Ham United,26,64.5,4.2,19.5,27.7,18.2,1.37,64.5
Danny Ward,GK,Leicester City,31,36.7,26.7,36.7,0,0,0,36.7
Joel Ward,DF,Crystal Palace,34,40,3.75,21.3,18.8,1.25,0,40
James Ward-Prowse,MF,West Ham United,29,73.8,2.61,15.7,44.6,13.7,0.96,73.8
James Ward-Prowse,MF,Nottingham Forest,29,46.6,2.95,11.1,26.1,10.2,0.23,46.6
Ollie Watkins,FW,Aston Villa,28,24,0.62,1.73,8.58,14.1,5.81,24
Adam Webster,DF,Brighton,29,83.2,12,39.3,40.3,4.34,1.52,83.2
Danny Welbeck,FW,Brighton,33,30.9,0.77,2.47,13.5,15.1,4.34,30.9
Welington,DF,Southampton,23,51.1,5.74,20.9,18.9,11.9,0.56,51.1
Timo Werner,"FW,MF",Tottenham Hotspur,28,52.3,1.4,4.21,13.7,35.6,5.79,52.3
Adam Wharton,MF,Crystal Palace,20,59.7,2.05,14,31.7,14.5,0.75,59.7
Ben White,DF,Arsenal,26,61.1,4.14,16.1,27.6,17.9,2.11,61.1
Mats Wieffer,"DF,MF",Brighton,24,76.7,4.87,19.7,39.8,18.2,1.95,76.7
Neco Williams,DF,Nottingham Forest,23,54.3,5.38,19.4,19.9,15.7,1.56,54.3
Willian,"FW,MF",Fulham,35,79.7,0.34,6.21,28.6,46.2,2.41,79.7
Joe Willock,"MF,FW",Newcastle United,24,44,0.99,6.12,19.1,19.8,4.55,44
Callum Wilson,FW,Newcastle United,32,23.2,0.24,1.22,13.4,9.27,4.63,23.2
Harry Wilson,"FW,MF",Fulham,27,46.4,0.85,6.28,15.7,25.1,4.88,46.4
Harry Winks,MF,Leicester City,28,67.7,2.87,16.1,43.6,8.83,0.06,67.7
Ben Winterburn,"MF,FW",Bournemouth,19,30,0,6.67,16.7,6.67,3.33,30
Yoane Wissa,FW,Brentford,27,28.5,1.05,4.2,11.6,13.3,5.03,28.5
Chris Wood,FW,Nottingham Forest,32,23.4,1.22,2.71,11,9.79,3.19,23.3
Nathan Wood-Gordon,DF,Southampton,22,65.6,8.72,32.8,29.7,3.26,0.35,65.6
Luke Woolfenden,DF,Ipswich Town,25,52.6,11.1,30.8,21.1,0.68,0.23,52.6
Yehor Yarmoliuk,MF,Brentford,20,59.6,3.79,17.2,31.1,12.6,0.93,59.6
Ryan Yates,MF,Nottingham Forest,26,48.9,3.76,13,23.9,12.5,1.92,48.9
Leny Yoro,DF,Manchester Utd,18,69.3,6.74,32,32.1,5.43,1.01,69.3
Ashley Young,DF,Everton,39,57.4,2.93,17.7,25.4,14.7,0.43,57.4
Illia Zabarnyi,DF,Bournemouth,21,59.8,6.78,26.9,31.2,2.23,0.46,59.8
Oleksandr Zinchenko,"DF,MF",Arsenal,27,84.6,2.71,14.6,39.5,30.7,3.39,84.6
Joshua Zirkzee,"FW,MF",Manchester Utd,23,37.6,1.03,4.55,19.4,14,3.59,37.6
Martin Ødegaard,MF,Arsenal,25,65.7,0.35,4.88,27.4,33.9,4.46,65.6
